date,window,score,regime
1975-01-01,full,49.01,cool
1975-01-01,rolling20y,43.95,cool
1975-01-02,full,49.01,cool
1975-01-02,rolling20y,43.95,cool
1975-01-03,full,49.01,cool
1975-01-03,rolling20y,43.95,cool
1975-01-06,full,49.01,cool
1975-01-06,rolling20y,43.95,cool
1975-01-07,full,49.01,cool
1975-01-07,rolling20y,43.95,cool
1975-01-08,full,49.01,cool
1975-01-08,rolling20y,43.95,cool
1975-01-09,full,49.01,cool
1975-01-09,rolling20y,43.95,cool
1975-01-10,full,49.01,cool
1975-01-10,rolling20y,43.95,cool
1975-01-13,full,49.01,cool
1975-01-13,rolling20y,43.95,cool
1975-01-14,full,49.01,cool
1975-01-14,rolling20y,43.95,cool
1975-01-15,full,49.01,cool
1975-01-15,rolling20y,43.95,cool
1975-01-16,full,49.01,cool
1975-01-16,rolling20y,43.95,cool
1975-01-17,full,49.01,cool
1975-01-17,rolling20y,43.95,cool
1975-01-20,full,49.01,cool
1975-01-20,rolling20y,43.95,cool
1975-01-21,full,49.01,cool
1975-01-21,rolling20y,43.95,cool
1975-01-22,full,49.01,cool
1975-01-22,rolling20y,43.95,cool
1975-01-23,full,49.01,cool
1975-01-23,rolling20y,43.95,cool
1975-01-24,full,49.01,cool
1975-01-24,rolling20y,43.95,cool
1975-01-27,full,49.01,cool
1975-01-27,rolling20y,43.95,cool
1975-01-28,full,49.01,cool
1975-01-28,rolling20y,43.95,cool
1975-01-29,full,49.01,cool
1975-01-29,rolling20y,43.95,cool
1975-01-30,full,49.01,cool
1975-01-30,rolling20y,43.95,cool
1975-01-31,full,49.01,cool
1975-01-31,rolling20y,43.95,cool
1975-02-03,full,49.91,cool
1975-02-03,rolling20y,44.54,cool
1975-02-04,full,49.91,cool
1975-02-04,rolling20y,44.54,cool
1975-02-05,full,49.91,cool
1975-02-05,rolling20y,44.54,cool
1975-02-06,full,49.91,cool
1975-02-06,rolling20y,44.54,cool
1975-02-07,full,49.91,cool
1975-02-07,rolling20y,44.54,cool
1975-02-10,full,49.91,cool
1975-02-10,rolling20y,44.54,cool
1975-02-11,full,49.91,cool
1975-02-11,rolling20y,44.54,cool
1975-02-12,full,49.91,cool
1975-02-12,rolling20y,44.54,cool
1975-02-13,full,49.91,cool
1975-02-13,rolling20y,44.54,cool
1975-02-14,full,49.91,cool
1975-02-14,rolling20y,44.54,cool
1975-02-17,full,49.91,cool
1975-02-17,rolling20y,44.54,cool
1975-02-18,full,49.91,cool
1975-02-18,rolling20y,44.54,cool
1975-02-19,full,49.91,cool
1975-02-19,rolling20y,44.54,cool
1975-02-20,full,49.91,cool
1975-02-20,rolling20y,44.54,cool
1975-02-21,full,49.91,cool
1975-02-21,rolling20y,44.54,cool
1975-02-24,full,49.91,cool
1975-02-24,rolling20y,44.54,cool
1975-02-25,full,49.91,cool
1975-02-25,rolling20y,44.54,cool
1975-02-26,full,49.91,cool
1975-02-26,rolling20y,44.54,cool
1975-02-27,full,49.91,cool
1975-02-27,rolling20y,44.54,cool
1975-02-28,full,49.91,cool
1975-02-28,rolling20y,44.54,cool
1975-03-03,full,51.0,cool
1975-03-03,rolling20y,45.5,cool
1975-03-04,full,51.0,cool
1975-03-04,rolling20y,45.5,cool
1975-03-05,full,51.0,cool
1975-03-05,rolling20y,45.5,cool
1975-03-06,full,51.0,cool
1975-03-06,rolling20y,45.5,cool
1975-03-07,full,51.0,cool
1975-03-07,rolling20y,45.5,cool
1975-03-10,full,51.0,cool
1975-03-10,rolling20y,45.5,cool
1975-03-11,full,51.0,cool
1975-03-11,rolling20y,45.5,cool
1975-03-12,full,51.0,cool
1975-03-12,rolling20y,45.5,cool
1975-03-13,full,51.0,cool
1975-03-13,rolling20y,45.5,cool
1975-03-14,full,51.0,cool
1975-03-14,rolling20y,45.5,cool
1975-03-17,full,51.0,cool
1975-03-17,rolling20y,45.5,cool
1975-03-18,full,51.0,cool
1975-03-18,rolling20y,45.5,cool
1975-03-19,full,51.0,cool
1975-03-19,rolling20y,45.5,cool
1975-03-20,full,51.0,cool
1975-03-20,rolling20y,45.5,cool
1975-03-21,full,51.0,cool
1975-03-21,rolling20y,45.5,cool
1975-03-24,full,51.0,cool
1975-03-24,rolling20y,45.5,cool
1975-03-25,full,51.0,cool
1975-03-25,rolling20y,45.5,cool
1975-03-26,full,51.0,cool
1975-03-26,rolling20y,45.5,cool
1975-03-27,full,51.0,cool
1975-03-27,rolling20y,45.5,cool
1975-03-28,full,51.0,cool
1975-03-28,rolling20y,45.5,cool
1975-03-31,full,51.0,cool
