date,window,pillar,score
1990-01-01,full,leverage,99.68
1990-01-01,full,liquidity,36.74
1990-01-01,full,valuation,59.61
1990-01-01,rolling20y,leverage,99.38
1990-01-01,rolling20y,liquidity,40.49
1990-01-01,rolling20y,valuation,81.88
1990-01-02,full,leverage,99.68
1990-01-02,full,liquidity,36.65
1990-01-02,full,valuation,59.61
1990-01-02,rolling20y,leverage,99.38
1990-01-02,rolling20y,liquidity,40.39
1990-01-02,rolling20y,valuation,81.88
1990-01-03,full,leverage,99.68
1990-01-03,full,liquidity,36.84
1990-01-03,full,valuation,59.61
1990-01-03,rolling20y,leverage,99.38
1990-01-03,rolling20y,liquidity,40.58
1990-01-03,rolling20y,valuation,81.88
1990-01-04,full,leverage,99.68
1990-01-04,full,liquidity,36.74
1990-01-04,full,valuation,59.61
1990-01-04,rolling20y,leverage,99.38
1990-01-04,rolling20y,liquidity,40.48
1990-01-04,rolling20y,valuation,81.88
1990-01-05,full,leverage,99.68
1990-01-05,full,liquidity,36.45
1990-01-05,full,valuation,59.61
1990-01-05,rolling20y,leverage,99.38
1990-01-05,rolling20y,liquidity,40.19
1990-01-05,rolling20y,valuation,81.88
1990-01-08,full,leverage,99.68
1990-01-08,full,liquidity,36.2
1990-01-08,full,valuation,59.61
1990-01-08,rolling20y,leverage,99.38
1990-01-08,rolling20y,liquidity,39.94
1990-01-08,rolling20y,valuation,81.88
1990-01-09,full,leverage,99.68
1990-01-09,full,liquidity,36.27
1990-01-09,full,valuation,59.61
1990-01-09,rolling20y,leverage,99.38
1990-01-09,rolling20y,liquidity,40.02
1990-01-09,rolling20y,valuation,81.88
1990-01-10,full,leverage,99.68
1990-01-10,full,liquidity,36.19
1990-01-10,full,valuation,59.61
1990-01-10,rolling20y,leverage,99.38
1990-01-10,rolling20y,liquidity,39.94
1990-01-10,rolling20y,valuation,81.88
1990-01-11,full,leverage,99.68
1990-01-11,full,liquidity,36.11
1990-01-11,full,valuation,59.61
1990-01-11,rolling20y,leverage,99.38
1990-01-11,rolling20y,liquidity,39.86
1990-01-11,rolling20y,valuation,81.88
1990-01-12,full,leverage,99.68
1990-01-12,full,liquidity,35.86
1990-01-12,full,valuation,59.61
1990-01-12,rolling20y,leverage,99.38
1990-01-12,rolling20y,liquidity,39.6
1990-01-12,rolling20y,valuation,81.88
1990-01-15,full,leverage,99.68
1990-01-15,full,liquidity,35.86
1990-01-15,full,valuation,59.61
1990-01-15,rolling20y,leverage,99.38
1990-01-15,rolling20y,liquidity,39.6
1990-01-15,rolling20y,valuation,81.88
1990-01-16,full,leverage,99.68
1990-01-16,full,liquidity,36.36
1990-01-16,full,valuation,59.61
1990-01-16,rolling20y,leverage,99.38
1990-01-16,rolling20y,liquidity,40.1
1990-01-16,rolling20y,valuation,81.88
1990-01-17,full,leverage,99.68
1990-01-17,full,liquidity,36.36
1990-01-17,full,valuation,59.61
1990-01-17,rolling20y,leverage,99.38
1990-01-17,rolling20y,liquidity,40.1
1990-01-17,rolling20y,valuation,81.88
1990-01-18,full,leverage,99.68
1990-01-18,full,liquidity,36.66
1990-01-18,full,valuation,59.61
1990-01-18,rolling20y,leverage,99.38
1990-01-18,rolling20y,liquidity,40.4
1990-01-18,rolling20y,valuation,81.88
1990-01-19,full,leverage,99.68
1990-01-19,full,liquidity,36.76
1990-01-19,full,valuation,59.61
1990-01-19,rolling20y,leverage,99.38
1990-01-19,rolling20y,liquidity,40.51
1990-01-19,rolling20y,valuation,81.88
