date,window,score
1975-01-01,full,95.58
1975-01-01,rolling20y,97.98
1975-01-02,full,94.55
1975-01-02,rolling20y,96.91
1975-01-03,full,94.02
1975-01-03,rolling20y,96.33
1975-01-06,full,93.58
1975-01-06,rolling20y,95.88
1975-01-07,full,93.5
1975-01-07,rolling20y,95.81
1975-01-08,full,94.28
1975-01-08,rolling20y,96.64
1975-01-09,full,93.12
1975-01-09,rolling20y,95.35
1975-01-10,full,91.34
1975-01-10,rolling20y,93.65
1975-01-13,full,91.59
1975-01-13,rolling20y,93.86
1975-01-14,full,92.18
1975-01-14,rolling20y,94.39
1975-01-15,full,91.57
1975-01-15,rolling20y,93.81
1975-01-16,full,91.56
1975-01-16,rolling20y,93.8
1975-01-17,full,92.71
1975-01-17,rolling20y,94.95
1975-01-20,full,92.41
1975-01-20,rolling20y,94.59
1975-01-21,full,92.77
1975-01-21,rolling20y,95.01
1975-01-22,full,91.39
1975-01-22,rolling20y,93.63
1975-01-23,full,90.75
1975-01-23,rolling20y,93.0
1975-01-24,full,89.2
1975-01-24,rolling20y,91.22
1975-01-27,full,84.26
1975-01-27,rolling20y,85.87
1975-01-28,full,82.84
1975-01-28,rolling20y,84.22
1975-01-29,full,80.17
1975-01-29,rolling20y,80.91
1975-01-30,full,82.18
1975-01-30,rolling20y,83.41
1975-01-31,full,80.4
1975-01-31,rolling20y,81.14
1975-02-03,full,78.45
1975-02-03,rolling20y,79.38
1975-02-04,full,78.75
1975-02-04,rolling20y,79.56
1975-02-05,full,74.87
1975-02-05,rolling20y,75.29
1975-02-06,full,75.75
1975-02-06,rolling20y,76.35
1975-02-07,full,75.44
1975-02-07,rolling20y,75.97
1975-02-10,full,75.98
1975-02-10,rolling20y,76.67
1975-02-11,full,75.25
1975-02-11,rolling20y,75.72
1975-02-12,full,71.05
1975-02-12,rolling20y,70.53
1975-02-13,full,67.45
1975-02-13,rolling20y,65.71
1975-02-14,full,65.91
1975-02-14,rolling20y,63.91
1975-02-17,full,65.91
1975-02-17,rolling20y,63.91
1975-02-18,full,67.34
1975-02-18,rolling20y,65.57
1975-02-19,full,65.75
1975-02-19,rolling20y,63.68
1975-02-20,full,63.48
1975-02-20,rolling20y,60.44
1975-02-21,full,62.24
1975-02-21,rolling20y,58.82
1975-02-24,full,65.27
1975-02-24,rolling20y,63.01
1975-02-25,full,70.92
1975-02-25,rolling20y,70.37
1975-02-26,full,67.97
1975-02-26,rolling20y,66.32
1975-02-27,full,66.76
1975-02-27,rolling20y,64.89
1975-02-28,full,64.24
1975-02-28,rolling20y,61.57
1975-03-03,full,60.58
1975-03-03,rolling20y,57.17
1975-03-04,full,59.44
1975-03-04,rolling20y,56.24
1975-03-05,full,58.6
1975-03-05,rolling20y,55.62
1975-03-06,full,59.07
1975-03-06,rolling20y,55.97
1975-03-07,full,57.7
1975-03-07,rolling20y,54.92
1975-03-10,full,56.47
1975-03-10,rolling20y,53.82
1975-03-11,full,57.52
1975-03-11,rolling20y,54.71
1975-03-12,full,59.14
1975-03-12,rolling20y,56.03
1975-03-13,full,58.7
1975-03-13,rolling20y,55.64
1975-03-14,full,56.64
1975-03-14,rolling20y,53.92
1975-03-17,full,54.63
1975-03-17,rolling20y,52.19
1975-03-18,full,55.98
1975-03-18,rolling20y,53.43
1975-03-19,full,57.36
1975-03-19,rolling20y,54.52
1975-03-20,full,58.75
1975-03-20,rolling20y,55.68
1975-03-21,full,59.22
1975-03-21,rolling20y,56.08
1975-03-24,full,63.67
1975-03-24,rolling20y,60.59
1975-03-25,full,61.85
1975-03-25,rolling20y,58.26
1975-03-26,full,58.31
1975-03-26,rolling20y,55.29
1975-03-27,full,57.69
1975-03-27,rolling20y,54.81
1975-03-28,full,57.69
1975-03-28,rolling20y,54.81
